ID,Engagement Type,Company Name,Solution Engineer,Created,Core Platform,Challenge / Pain,TechWin Requirements,Integrations,DocAutomation,Mobile,In Person or Remote,With Partner?,RPA,Seller,Is Professional Services
1268,Demo Request,Cleanaway,Chris Ben,45048.98319,"Automation Cloud
","They would like support building 4 key solutions

- Procurement Pathway Tool
- Management of Change Workflow
- Contract Execution Request Form
- Established Buying Pathways Tool","We are helping build a few solutions for the Cleanaway Team. I have included the scopes below.


Procurement Pathway Tool

The outcome of the workflow (regardless of which option we end up with) is to provide end users with 1 of 3 pathways (ie sub-processes in Promapp) they are required to follow.  

The options are both  based on the corporate risk matrix, just in different ways – one with a set of questions (option 1) and the other being a visual representation that they select from (option 2).  

Option 1 (this is the option we briefly talked through last week):
•	A set of 5 multi choice questions to select the ‘worst case’ of something happening, one for each of the corporate risk matrix categories (with 5 answers to choose from – representative of the 5 risk levels) and 
•	An accompanying likelihood multi choice question (5 answers to choose from)
•	The combination of answers are mapped in the background to 1 of the 3 pathways/sub-processes they need to then follow in Promapp, and the user is advised of that outcome.  

Option 2:
A visual representation of the corporate risk matrix
The user clicks on/selects the most relevant option from each of the categories in the risk matrix
Once they select a box (say for the health & safety column in the risk matrix) they would then be asked to assign the likelihood to that risk (maybe a pop up box or similar to select the likelihood).

Option 3:
Our friends at Nintex choice!  If there is a more user friendly way to get the user to the outcome based on the logic, we’d love to hear it!

I’ve attached the list of questions (word file) and an excel file containing the mapping of the combined answers (ignore columns M onwards for now) to inform the outcome of the workflow.  You’ll note question 1 does not have a corresponding ‘likelihood’ question associated with it, and therefore this is mapped directly into the pathways/outcomes table as A, B, C, D or E.  There is also a question 6, which does not require mapping (it will simply help inform a step in the process).



Management of Change Workflow

Caveat: You will see in the notes tab there are a few areas under development however I have given samples of data and logic to enable to estimation.  

Very important to note: these are very specific mostly based around a tool we had in place, tell the team to be create to explore our fundamental requirement of ease of use for our frontline staff.","The key is connecting to their SQL Server, they've never allowed internal or external systems to connect directly. It is usually done through an API, however, that may require developers which their IT team does not have time to support with. I have attached a diagram the customer drew up on the call",FALSE,FALSE,Remote,FALSE,FALSE,Rabih Khatib,FALSE
1267,Demo Request,Cleanaway,Chris Ben,45048.9788,"Automation Cloud
","They would like support building 4 key solutions

- Procurement Pathway Tool
- Management of Change Workflow
- Contract Execution Request Form
- Established Buying Pathways Tool","We are helping build a few solutions for the Cleanaway Team. I have included the scopes below.


Procurement Pathway Tool

The outcome of the workflow (regardless of which option we end up with) is to provide end users with 1 of 3 pathways (ie sub-processes in Promapp) they are required to follow.  

The options are both  based on the corporate risk matrix, just in different ways – one with a set of questions (option 1) and the other being a visual representation that they select from (option 2).  

Option 1 (this is the option we briefly talked through last week):
•	A set of 5 multi choice questions to select the ‘worst case’ of something happening, one for each of the corporate risk matrix categories (with 5 answers to choose from – representative of the 5 risk levels) and 
•	An accompanying likelihood multi choice question (5 answers to choose from)
•	The combination of answers are mapped in the background to 1 of the 3 pathways/sub-processes they need to then follow in Promapp, and the user is advised of that outcome.  

Option 2:
A visual representation of the corporate risk matrix
The user clicks on/selects the most relevant option from each of the categories in the risk matrix
Once they select a box (say for the health & safety column in the risk matrix) they would then be asked to assign the likelihood to that risk (maybe a pop up box or similar to select the likelihood).

Option 3:
Our friends at Nintex choice!  If there is a more user friendly way to get the user to the outcome based on the logic, we’d love to hear it!

I’ve attached the list of questions (word file) and an excel file containing the mapping of the combined answers (ignore columns M onwards for now) to inform the outcome of the workflow.  You’ll note question 1 does not have a corresponding ‘likelihood’ question associated with it, and therefore this is mapped directly into the pathways/outcomes table as A, B, C, D or E.  There is also a question 6, which does not require mapping (it will simply help inform a step in the process).



Management of Change Workflow

Caveat: You will see in the notes tab there are a few areas under development however I have given samples of data and logic to enable to estimation.  

Very important to note: these are very specific mostly based around a tool we had in place, tell the team to be create to explore our fundamental requirement of ease of use for our frontline staff.","The key is connecting to their SQL Server, they've never allowed internal or external systems to connect directly. It is usually done through an API, however, that may require developers which their IT team does not have time to support with. I have attached a diagram the customer drew up on the call",FALSE,FALSE,Remote,FALSE,FALSE,Rabih Khatib,FALSE
1266,Demo Request,Cleanaway,Chris Ben,45048.95689,"Automation Cloud
","They would like support building 4 key solutions

- Procurement Pathway Tool
- Management of Change Workflow
- Contract Execution Request Form
- Established Buying Pathways Tool","We are helping build a few solutions for the Cleanaway Team. I have included the scopes below.


Procurement Pathway Tool

The outcome of the workflow (regardless of which option we end up with) is to provide end users with 1 of 3 pathways (ie sub-processes in Promapp) they are required to follow.  

The options are both  based on the corporate risk matrix, just in different ways – one with a set of questions (option 1) and the other being a visual representation that they select from (option 2).  

Option 1 (this is the option we briefly talked through last week):
•	A set of 5 multi choice questions to select the ‘worst case’ of something happening, one for each of the corporate risk matrix categories (with 5 answers to choose from – representative of the 5 risk levels) and 
•	An accompanying likelihood multi choice question (5 answers to choose from)
•	The combination of answers are mapped in the background to 1 of the 3 pathways/sub-processes they need to then follow in Promapp, and the user is advised of that outcome.  

Option 2:
A visual representation of the corporate risk matrix
The user clicks on/selects the most relevant option from each of the categories in the risk matrix
Once they select a box (say for the health & safety column in the risk matrix) they would then be asked to assign the likelihood to that risk (maybe a pop up box or similar to select the likelihood).

Option 3:
Our friends at Nintex choice!  If there is a more user friendly way to get the user to the outcome based on the logic, we’d love to hear it!

I’ve attached the list of questions (word file) and an excel file containing the mapping of the combined answers (ignore columns M onwards for now) to inform the outcome of the workflow.  You’ll note question 1 does not have a corresponding ‘likelihood’ question associated with it, and therefore this is mapped directly into the pathways/outcomes table as A, B, C, D or E.  There is also a question 6, which does not require mapping (it will simply help inform a step in the process).



Management of Change Workflow

Caveat: You will see in the notes tab there are a few areas under development however I have given samples of data and logic to enable to estimation.  

Very important to note: these are very specific mostly based around a tool we had in place, tell the team to be create to explore our fundamental requirement of ease of use for our frontline staff.","The key is connecting to their SQL Server, they've never allowed internal or external systems to connect directly. It is usually done through an API, however, that may require developers which their IT team does not have time to support with. I have attached a diagram the customer drew up on the call",FALSE,FALSE,Remote,FALSE,FALSE,Rabih Khatib,FALSE
1265,Demo Request,Bedford Group,Thomas Kohlenbach,45048.88118,"Process Manager
","Processes largely held in various formats or largely undocumented. Need to create a centralised repository to provide easy access for end users and standardise processes across multiple locations. Have already been exposed to a lot of our marketing resources and I have already provided them with a short demo of the PM during the discovery call. This evaluation is being driven by the Business Improvement team who want to map processes as a baseline for continuous improvement endeavours and create a culture of CI within the organisation. HR are also involved as they want newly onboarded employees to have easy access to processes, I talked about training module with them. 
Acting Head of IT will be on the call and he has used PM in a previous role.
Processes to be held in either Sharepoint or in their Quality System (Skytrust). Have talked to them about SP integration.
Went over PVM for future state and CI mapping.
Briefly touched on Improvement Management.
NDIS Service Provider - so industry info on our current NDIS clients would
Currently looking to introduce Lean initiatives
Talk about mobile app for frontline staff","General overview of full platform
- How to map - Hot Drink example
- Overall process map features - systems (IT manager), Run Cost Analysis, Lean tagging
- PVM
- Improvements
- Show the Sharepoint integration with the Globex example
- Mobile App for frontline staff - please show",Sharepoint,FALSE,FALSE,Remote,FALSE,FALSE,Rufus OBrien,FALSE
1264,Demo Request,United for Care,Bree Barsanti,45048.8411,"Automation Cloud
Process Manager
","Currently, all process documentation is manual, using word docs and LucidChart to create visual flowcharts. What they are seeking is the ability to map out professional processes to be presented as reports to their C suites, automation of certain data collection and having a central repository to store their processes.","Currently, all process documentation is manual, using word docs and LucidChart to create visual flowcharts. What they are seeking is the ability to map out professional processes to be presented as reports to their C suites, automation of certain data collection and having a central repository to store their processes.",,TRUE,FALSE,Remote,FALSE,FALSE,Dean Ornelas,FALSE
1263,Demo Request,Qube Holdings,Barry Cairns,45048.76958,"Automation Cloud
Process Manager
","major ERP upgrade, as part of this they need to document process and get visabilty of whats happening  - they have grown to fast and there isnt much documentaion so need to get this in place to support the improvement program. the CFO is sponsoring this and has brought on a guy to run it. 

Second to this is automation - HR onboarding is a known challenge - very mannual, hard to track and manage and NAC fits nicely. Payroll as well with many flown challenges that we can solve by automating.

they want to define what is actually happening right now - stnadardise and then autoamtion - get rid of the ""noise"" was their term.","show how we can accelerate this program - get away from stagnant docs to a platfomr to support this and also more programs. 

Will have GM of finance and GM of IT + who ever they invite from there teams","They ERP is ORCALE Fusion - however have salesforce, O365 as well",FALSE,FALSE,Remote,FALSE,FALSE,Jesse Fallowfield,FALSE
1262,Passed to Partner,Medical City Philippines,Ranjit Ramachandran,45048.33025,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1261,Discovery & Qualification Assistance,Pathology Asia,Ranjit Ramachandran,45048.08355,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1260,Demo Request,ICON Water,Barry Cairns,45047.93356,"RPA
","Although I haven't yet uncovered a specific opportunity for this account I'd like to request your assistance in working with a customer to discuss ways in which RPA can play a role across their business. 

As one of my bigger accounts I have a scheduled quarterly catch up with ICON Water to discuss how their use of NAC is going, whether there are any specific requests for things like features, add ons or to discuss any issues with the platform. As per our agreed agenda ICON Water also like to see Nintex's other products and discuss how they can add value. 

One of ICON Water's Senior Technical Leaders is presenting at the upcoming Exec lunch event on behalf of his work with NAC and the business benefits the tool has provided them. 

I've previously shown Process Manager through Thomas but would like to ask for Barry to present a solution he demonstrated recently to a client around Finance Process to see if we can get any buy in or an opportunity to be introduced to another team.",,Not sure beyond Microsoft.,FALSE,FALSE,Remote,FALSE,FALSE,Alex Jones,FALSE
1259,Discovery & Qualification Assistance,Australian Gift & Homeware Association,Chris Ben,45046.97228,"Process Discovery
",,,,,,Remote,FALSE,,Dean Ornelas,
1258,Demo Request,Dubbo Council,Barry Cairns,45046.96851,"Automation Cloud
",Customer is looking at Process Manager (has already had a demo on Process Manager via Bree) however they are now looking at forms/workflow and would like to deep dive further into this,,,TRUE,FALSE,Remote,FALSE,FALSE,Dean Ornelas,FALSE
1257,Discovery & Qualification Assistance,Australian Gift & Homeware Association,Chris Ben,45046.96755,"Process Discovery
",,,,,,Remote,FALSE,,Dean Ornelas,
1256,Discovery & Qualification Assistance,Queensland Performing Arts Centre,Chris Ellis,45046.64763,"Automation Cloud
",,,,,,Remote,FALSE,,Sarah Mainprize,
1255,Demo Request,Carpet Court,Bree Barsanti,45043.76638,"Process Manager
","Christian picked up the lead on prospecting day.  No opp generated yet. They're doing ERP implementations and reviews... 

Currently using UI Path to take data from older systems, have no processes documented.","Bree - demo completed 27/04 with Sarah, Christian and Rufus.  Next steps were for commercials to be sent and a workshop to be setup.",,FALSE,FALSE,Remote,FALSE,FALSE,Bree Barsanti,FALSE
1254,Discovery & Qualification Assistance,Motherson,Ranjit Ramachandran,45043.05881,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1253,Proceed to Custom Demo,Care Super,Bree Barsanti,45042.70626,Process Manager,"200 FTE - currently using Visio to PDF to identify defects in processes & document for legislation... Very manual process for the improvements and change team.

Teams across Melbourne and Sydney... Currently transitioning to SharePoint.  Have a large risk team but our contact wasn't aware of the tools used. 

Big focus on documenting processes at scale, understanding the business further and supporting CI inititives.",CI overview of Process Manager,SharePoint,FALSE,FALSE,Remote,FALSE,FALSE,Raffaele Malvaso,FALSE
1252,Discovery & Qualification Assistance,Care Super,Bree Barsanti,45042.67301,"Process Manager
",,,,,,Remote,FALSE,,Raffaele Malvaso,
1251,Discovery & Qualification Assistance,Chanel,Ranjit Ramachandran,45042.2534,"Process Manager
",,,,,,In Person,FALSE,,Rachel Lim,
1250,Discovery & Qualification Assistance,Protiviti Hong Kong,Thomas Kohlenbach,45042.18056,"Process Manager
",,,,,,Remote,FALSE,,Rachel Lim,
1249,Discovery & Qualification Assistance,ECCO,Ranjit Ramachandran,45042.08302,"Process Manager
",,,,,,Remote,FALSE,,Eddy Lee,
1248,Discovery & Qualification Assistance,PT. Kapal Api Group,Ranjit Ramachandran,45042.07307,"Modernisation
",,,,,,Remote,TRUE,,Adi Hasan,
1247,Discovery & Qualification Assistance,Department of Communities,Chris Ellis,45042.04763,"Automation Cloud
Process Manager
",,,,,,Remote,FALSE,,Sam Gilmore,
1246,Discovery & Qualification Assistance,RACV,Barry Cairns,45041.98264,"DocGen for Salesforce
",,,,,,Remote,FALSE,,Rufus OBrien,
1245,Discovery & Qualification Assistance,https://nintex.lightning.force.com/lightning/r/Account/0012v00002BvLBHAA3/view,Barry Cairns,45041.88684,"DocGen for Salesforce
Automation Cloud
",,,,,,Remote,TRUE,,Damian DRozario,
1244,Passed to Partner,EY India,Ranjit Ramachandran,45041.29073,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1243,Passed to Partner,Pontiac Land,Ranjit Ramachandran,45041.29023,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1242,Passed to Partner,SuperHub,Ranjit Ramachandran,45041.29014,,,,,FALSE,FALSE,,FALSE,FALSE,Rachel ,FALSE
1241,Passed to Partner,ASL,Ranjit Ramachandran,45041.28957,,,,,FALSE,FALSE,,FALSE,FALSE,Rachel ,FALSE
1240,Passed to Partner,Protiviti Hong Kong,Ranjit Ramachandran,45041.28946,,,,,FALSE,FALSE,,FALSE,FALSE,Rachel ,FALSE
1239,Passed to Partner,Hong Leong Bank Berhad,Ranjit Ramachandran,45041.28892,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1238,Passed to Partner,KFC Singapore,Ranjit Ramachandran,45041.28829,,,,,FALSE,FALSE,,FALSE,FALSE,Eddy ,FALSE
1237,Discovery & Qualification Assistance,ECCO,Ranjit Ramachandran,45041.02031,"Process Manager
",,,,,,Remote,FALSE,,Eddy Lee,
1236,Demo Request,UpSkilled,Ranjit Ramachandran,45039.70806,"DocGen for Salesforce
",Customer has decided to keep SF on for an additional year and having previously seen a demo of Nintex E-sign from Barry wants to remove DocuSign and go with Nintex. Customer e-mailed me last week to confirm they are now in a position to go ahead with our solution having done their own research but also want to get a refresher demo so we can discuss the solution and integration as well as commercials.,Mainly just the SF integration into Nintex e-Sign to ensure the solution is sound technically.,SF.com,FALSE,FALSE,Remote,FALSE,FALSE,Alex Jones,FALSE
1235,Discovery & Qualification Assistance,LEAP Legal,Ranjit Ramachandran,45036.98704,"DocGen for Salesforce
",,,,,,Remote,FALSE,,Alex Jones,
1234,Demo Request,Burwood Council,Bree Barsanti,45036.93029,"Process Manager
",Process Manager demo - local gov with exec stakeholders,"The attendees are our entire Exec including the GM, as well as our IT Manager. There may also be a couple of other managers attending, but not confirmed as yet.
Broadly speaking, we’d like to see and know about:
-	The product, including any overheads or requirements from us in implementing and managing the product
-	How it’s being used at other Councils
-	How it may have been used by Councils embarking on ERP change
-	Any other way it could assist us",,FALSE,FALSE,Remote,FALSE,FALSE,Jesse Fallowfield,FALSE
1233,Demo Request,"Department of Local Government, Sport and Cultural Industries",Chris Ellis,45036.92906,"Automation Cloud
","looking for an onboarding demo to showcase what the existing license can do and offer. 
- have an existing 150WF license
- looking to position promapp as an additional software purchase 


Scope of Demo 
- looking to see NAC for workflow management and tracking of processes 


Current State
using task center - custom software to manage the existing workflows 
its hard to track who is doing what 
there is no dashboard for the software solution
worked with SKS to build the solution (was about 8 years ago) and nothing has been worked on since then...",,,FALSE,FALSE,Remote,FALSE,FALSE,Michael Demianyk,FALSE
1232,Demo Request,Western Power,Barry Cairns,45036.04483,"Automation Cloud
Process Manager
","Western Power have already got a workflow and 100 process process manager license. However, there is exponential growth across both licenses across the next three years.

Chris Ben and I had a technical discussion with their Head of Technology and Enterprise Platform Lead today (20/04), they have used Nintex at previous roles in HBF and Health (Shared support services). They do need to get up to speed with the latest and greatest from a functionality standpoint.

Process Manager will be the go forward BPM tool, they do need some context around the value proposition for Process Manager and why it can benefit vs holocentric or Iserver from a customer experience standpoint. 

We have agreed to present Employee onboarding to showcase the full breathe of the platform. Starting in Process Manager and running right through to automation / system integration. 

They want to know how Nintex can be used amongst a plethora of other tools essentially and how we can then work very hands on via CS and PS to help them roll this out successfully.

Please note I did the initial call with Chris Ben but I understand he will be on leave next week when it was booked for.","Why Promapp over an Iserver / Holocentric
General demo of NAC
Integration with ServiceNow
Document generation and E Sign - Employee Onboarding is being reviewed right now and they are actively looking for a new solution.",ServiceNow,TRUE,TRUE,Remote,FALSE,FALSE,Sam Gilmore,FALSE
1231,Discovery & Qualification Assistance,NZ Panels,Thomas Kohlenbach,45034.61171,"Process Manager
",,,,,,Remote,FALSE,,Max Howells,
1230,Demo Request,EECA,Chris Ben,45033.90084,"Automation Cloud
","The customer is looking to deploy a forms and workflow solution in connection with an upcoming project. The project is a the replacement of old hot water heat pumps with new eco friendly heat pumps. They are in the procurement phase identifying installers who will then go to customers, find jobs and submit them via a webform to EECA. This will either be approved for funding or cofunding. Once approved installers go and complete installation. Then they will raise a post job form which needs to be compared to the current form before paying their invoice.

This is a fast deployment with an end of June the cut off date to have everything live and fully functioning. They are interested in having a managed trial and also in getting pricing for professional services.

They expect to run about 5,000 of these a year but have other projects they will look to deploy this solution into as well.

The three phases we are looking at are:
Job Application Form (contractor found a customer and sends to EECA for full or partial funding)
Job Completion form (potentially in same workflow) compares the final work against the initial application.
Payment.

Currently have Cognito as a forms solution. Also use Salesforce and Sharepoint. Also have Promapp Currently.","Forms
Workflow
Ability to track the number of applications per installer (they have a limited number they are allowed to do)
Connectivity with other systems (salesforce, sharepoint)
A degree of reporting on the current progress of the project and in progress jobs.",Salesforce/ Sharepoint,FALSE,TRUE,In Person,FALSE,FALSE,Sam Williams,FALSE
1229,Discovery & Qualification Assistance,Northland Regional Council,Thomas Kohlenbach,45033.80167,"Process Manager
",,,,,,Remote,FALSE,,John Forsdick,
1228,Discovery & Qualification Assistance,Medical City Philippines,Ranjit Ramachandran,45032.999,"Process Manager
",,,,,,Remote,FALSE,,Eddy Lee,
1227,Demo Request,MHC Medical Network,Ranjit Ramachandran,45029.96781,"RPA
Automation Cloud
",,"Customer wants to see 

1.	Reporting capabilities in Nintex Automation Cloud (NAC)
2.	NAC Connectors to external reporting tools like PowerBI
3.	Connector to Microsoft Dynamics
4.	Generic RPA demo","SalesForce, Dynamnics, PowerBI",FALSE,FALSE,In Person,FALSE,TRUE,Rachel Lim,FALSE
1226,Discovery & Qualification Assistance,ACT Government - Shared Services,Barry Cairns,45029.72936,"DocGen for Salesforce
",,,,,,Remote,FALSE,,Gary Ross,
1225,Discovery & Qualification Assistance,Datamation,Ranjit Ramachandran,45028.96451,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1224,Proceed to Custom Demo,RMIT,Chris Ben,45028.83009,Automation Cloud,"when a new person goes through training and wants to create a process in Promapp, RMIT need to them to complete a training program in Workday. with this process, RMIT are having staff manually send an email to say when they have finished training, which requires someone to update a sharepoint list, and then create a shell process in Promapp.

once the shell process is created this is then provided to the new person to update
there is a need for a QC step to ensure a duplicate process doesnt exist.
RMIT are currently creating a process map to align with visually. For future use cases and value going to be showing PD click through.","Integration with Workday, for Demo we will show similar interface and 3rd party system integration with Salesforce
update sharepoint list, and RPA to create process shell in process manager","Workday, Process manager",FALSE,FALSE,Remote,FALSE,TRUE,Gary Ross,TRUE
1223,Proceed to Custom Demo,Foodstuffs North Island,Barry Cairns,45028.784,Automation Cloud,"This is an internal process to manage IT architecture reviews.
When an architect wants to schedule a review of their work, their current process is extremely manual:
If they have already had their work reviewed by more than two authorised people, it is approved. If they haven’t had it reviewed by anyone, it is automatically rejected. If they have had it reviewed by 1-2 people, they need to organise a review meeting as below
They have to contact the coordinator (Helen) to book a review slot. These are pre-scheduled slots on Mondays and Tuesdays and Helen picks the first available slot
She sends the documentation and the calendar invite out to everyone who needs to be in the review. Documentation is usually stored in Confluence and sometimes in R-doc but sending a link is fine rather than sending the actual documents
She updates Jira to say the documentation is under review
After the review meeting only one person from the group needs to approve (or send for rework)","Systems used: Jira, Confluence, Exchange/Outlook, Teams, R-Doc
Success criteria: if they can automate the decision-making process, if they can schedule a meeting in Exchange/Outlook and Update Jira
Demo flow:
Form to fill in to request a review. It should contain the link to Confluence document and the Jira case number. It should identify which people have already reviewed the documentation. The NAC Jira connector only allows us to create new Jira cases but I have a non-working xtension that we can use to simulate updating Jira. Maybe create a SP list as a substitute Jira to show how that would work.
If >2 people have reviewed, then set the Jira status to approved and stop the workflow. If no-one has reviewed then reject the meeting request with a reason
If 1-2 people have reviewed then find the next Mon/Tue free slot and book it via Exchange. The calendar invite should contain a link to confluence and the summary of the project. For the purposes of the demo the scheduled slots are Mon 12-1pm and Tue 12-1pm.
On the day of the meeting, send a task to all participants for the result. They can send for rework or approve. Update Jira with the result","JIRA, Confluence, Exchange/Outlook/Teams",FALSE,FALSE,Remote,FALSE,FALSE,Max Howells,FALSE
1222,Discovery & Qualification Assistance,Crowncork,Ranjit Ramachandran,45028.02976,"Automation Cloud
",,,,,,Remote,FALSE,,Eddy Lee,
1221,Demo Request,Novo Nordisk India,Ranjit Ramachandran,45027.99225,"Process Manager
",The customer is using Excel to design/map the business processes which is difficult for collaboration.,,,TRUE,FALSE,Remote,FALSE,FALSE,Eddy Lee,FALSE
1220,Discovery & Qualification Assistance,Lifestyle solutions,Bree Barsanti,45027.95865,"RPA
Automation Cloud
Process Manager
",,,,,,Remote,FALSE,,Gary Ross,
1219,Proceed to Custom Demo,Parkes Shire Council,Bree Barsanti,45027.87935,Process Manager,"Customer hasn't used Nintex PM since 2018.  Multiple stakeholders involved, Business Systems team lead, Analyst and Training... 2 x projects identified that they need help with:
1. Water and Sewers team need support on onboarding a large group of new staff
2. Document Management review and restructure",Nintex Process Management overview focused on CI and using all modules,,FALSE,FALSE,Remote,FALSE,FALSE,Alex Jones,FALSE
1218,Demo Request,Hewison Private Wealth,Bree Barsanti,45027.82796,"Process Manager
",Currently mapping out processes however they want a tool that will drive engagement and collaboration,It's an introduction to promapp and a lens on customer/client processes and standardisation across the org with the overall aim of improvement.,NA,FALSE,FALSE,,FALSE,FALSE,Raffaele Malvaso,FALSE
1217,Discovery & Qualification Assistance,Parkes Shire Council,Bree Barsanti,45027.81843,"Process Manager
",,,,,,Remote,FALSE,,Alex Jones,
